,phrase,replacements,label,ex,final
123,wrote the post about <post-word>,"{""post-word"": ""'big'""}",post,"{""post.text"": ""\""big\""""}",wrote the post about 'big'
401,rated an <page-type>,"{""page-type"": ""exhibitor""}",rate,{},rated an exhibitor
197,number is <phone>,"{""phone"": ""(344) 842-7718""}",profile,{},number is (344) 842-7718
213, <website> as website,"{""website"": ""'ow.ly'""}",profile,{}, 'ow.ly' as website
214,viewed at least two pages,{},view,{},viewed at least two pages
277,<last-name> for the last name,"{""last-name"": ""Rodriguez""}",profile,{},Rodriguez for the last name
505,rated page contains <post-word>,"{""post-word"": ""'pragmatic'""}",rate,{},rated page contains 'pragmatic'
124,replied to the post that contains word <post-word>?,"{""post-word"": ""'blackout'""}",reply,{},replied to the post that contains word 'blackout'?
182,attended an event once,{},event,{},attended an event once
28,participated in poll and answered yes,"{""poll-answer"": ""yes""}",poll,{},participated in poll and answered yes
453,<position> position,"{""position"": ""Affordable Housing Specialist""}",profile,{},Affordable Housing Specialist position
153,first name is <first-name>,"{""first-name"": ""'Lavern'""}",profile,{},first name is 'Lavern'
37,downloaded <page-type> file,"{""page-type"": ""exhibitor""}",file,{},downloaded exhibitor file
148,make a reply to the post written by <mention>,"{""mention"": ""Andy Chandler""}",reply,{},make a reply to the post written by Andy Chandler
496,opened page with <post-word>,"{""post-word"": ""'adsorbable'""}",view,{},opened page with 'adsorbable'
255,downloaded a file <number> times,"{""number"": ""3""}",file,{},downloaded a file 3 times
400,from <company>,"{""company"": ""Abercrombie & Fitch""}",profile,{},from Abercrombie & Fitch
451,attended event <number> times,"{""number"": ""4""}",event,{},attended event 4 times
396,note on <page-type>s page,"{""page-type"": ""speaker'""}",note,{},note on speaker's page
381,checked <page-type> page,"{""page-type"": ""session""}",view,{},checked session page
291,participated in a poll with the question <poll-question>?',"{""poll-question"": ""'Do you sleep with your sheets tucked in""}",poll,{},participated in a poll with the question 'Do you sleep with your sheets tucked in?'
288,liked someone else's post with <sentiment> sentiment,"{""sentiment"": ""positive""}",like,{},liked someone else's post with positive sentiment
107,replied to <mention>,"{""mention"": ""Cooper""}",reply,{},replied to Cooper
405,n't <enjoyment> the event,"{""enjoyment"": ""enjoyed""}",profile,{},n't enjoyed the event
1,liked any post <number> times,"{""number"": ""9""}",like,{},liked any post 9 times
494,called <first-name>,"{""first-name"": ""Petra""}",profile,{},called Petra
488,took <number> polls,"{""number"": ""4""}",poll,{},took 4 polls
83,liked post with word <post-word>,"{""post-word"": ""'coastal'""}",like,{},liked post with word 'coastal'
294,gave a rating to a page <number> times,"{""number"": ""7""}",rate,{},gave a rating to a page 7 times
40,named <first-name>,"{""first-name"": ""Marjorie""}",profile,{},named Marjorie
75,clicked on any ad <number> times,"{""number"": ""6""}",ad,{},clicked on any ad 6 times
254,works at abbott laboratories ,{},profile,{},works at abbott laboratories 
448,view of page which mentioned <post-word>,"{""post-word"": ""'beyond'""}",view,{},view of page which mentioned 'beyond'
415,n't really like the event,{},profile,{},n't really like the event
367,participated in quick poll answering <poll-answer>,"{""poll-answer"": ""'Yes'""}",poll,{},participated in quick poll answering 'Yes'
85,left <number> notes on a page,"{""number"": ""9""}",note,{},left 9 notes on a page
347,profile phone contains <phone>,"{""phone"": ""(101) 892-2757""}",profile,{},profile phone contains (101) 892-2757
423,<location> location,"{""location"": ""Vatican City""}",profile,{},Vatican City location
477,answerted <number> poll,"{""number"": ""1""}",poll,{},answerted 1 poll
186,also has <phone> as phone,"{""phone"": ""(771) 171-3243""}",profile,{},also has (771) 171-3243 as phone
348,visited <number> pages,"{""number"": ""4""}",view,{},visited 4 pages
60,downloaded <file-name> document,"{""file-name"": ""workshop""}",file,{},downloaded workshop document
281,surname is <last-name>,"{""last-name"": ""Rodriguez""}",profile,{},surname is Rodriguez
138,liked <number> <sentiment> posts,"{""sentiment"": ""positive"", ""number"": ""3""}",like,{},liked 3 positive posts
65,liked posts by <mention>,"{""mention"": ""Shawna Potter""}",like,{},liked posts by Shawna Potter
92,clicked an ad containing <post-word>,"{""post-word"": ""'big'""}",ad,{},clicked an ad containing 'big'
161,participated in event <number> times,"{""number"": ""3""}",event,{},participated in event 3 times
445,like of <mention>s post,"{""mention"": ""Clay Arnold'""}",like,{},like of Clay Arnold's post
78,liked <mention> post,"{""mention"": ""Dolores Cummings'""}",like,{},liked Dolores Cummings' post
322,voted on <number> polls,"{""number"": ""7""}",poll,{},voted on 7 polls
258,wrote something <sentiment>,"{""sentiment"": ""positive""}",post,{},wrote something positive
252,wrote about <post-word>,"{""post-word"": ""honey""}",post,"{""post.text"": ""honey""}",wrote about honey
156,first name was <first-name>,"{""first-name"": ""'Lavern'""}",profile,{},first name was 'Lavern'
447,post with <number> comments,"{""number"": ""5""}",post,"{""post.repliesCount"": ""5""}",post with 5 comments
9,clicked on ad about <post-word>,"{""post-word"": ""blackout""}",ad,{},clicked on ad about blackout
70,rated page containing <post-word>,"{""post-word"": ""'abomination'""}",rate,{},rated page containing 'abomination'
476,attended <event>,"{""event"": ""'Happy Hippopotamuss'18'""}",event,{},attended 'Happy Hippopotamuss'18'
35,replied to <sentiment> post,"{""sentiment"": ""negative""}",reply,{},replied to negative post
129,"wrote a post containing <post-word>
","{""post-word"": ""'big'""}",post,"{""post.text"": ""\""big\""""}","wrote a post containing 'big'
"
523,left a note on a page <number> times,"{""number"": ""3""}",note,{},left a note on a page 3 times
10,also liked post <number> times,"{""number"": ""9""}",like,{},also liked post 9 times
120,replied to post about <post-word>,"{""post-word"": ""blackout""}",reply,{},replied to post about blackout
234,work at <company>,"{""company"": ""Abbott Laboratories""}",profile,{},work at Abbott Laboratories
141,bio contains <post-word>,"{""post-word"": ""'beyond'""}",profile,{},bio contains 'beyond'
93, left a note with <post-word>,"{""post-word"": ""'convulsion'""}",note,{}, left a note with 'convulsion'
358,clicked on ad by <company>,"{""company"": ""'AC Lens'""}",ad,{},clicked on ad by 'AC Lens'
305,<position> position,"{""position"": ""Administrative Generalist/Specialist""}",profile,{},Administrative Generalist/Specialist position
162,their website is <website>,"{""website"": ""'free.fr'""}",profile,{},their website is 'free.fr'
72,not <enjoyment> the event,"{""enjoyment"": ""enjoyed""}",profile,{},not enjoyed the event
135,left a note on page containing <post-word>,"{""post-word"": ""'easy'""}",note,{},left a note on page containing 'easy'
416,from <location>,"{""location"": ""Vatican city""}",profile,{},from Vatican city
127,rated the page <number> times?,"{""number"": ""3""}",rate,{},rated the page 3 times?
47,never participated in poll,{},poll,{},never participated in poll
486,wrote a post about <mention>,"{""mention"": ""Steven Owens""}",post,"{""post.mention"": ""Steven Owens""}",wrote a post about Steven Owens
71,phone <phone>,"{""phone"": ""(331) 408-2679""}",profile,{},phone (331) 408-2679
276,<last-name> as the last name,"{""last-name"": ""Rodriguez""}",profile,{},Rodriguez as the last name
165,all of them from <location>,"{""location"": ""'Greece'""}",profile,{},all of them from 'Greece'
223,voted <poll-answer>,"{""poll-answer"": ""No""}",poll,{},voted No
188,made reply to <mention>,"{""mention"": ""Stacy Vaughn""}",reply,{},made reply to Stacy Vaughn
203,answered at least <number> polls,"{""number"": ""three""}",poll,{},answered at least three polls
145,bio containing word <post-word>,"{""post-word"": ""'beyond'""}",profile,{},bio containing word 'beyond'
183,liked a post that can be said to be a <sentiment> one,"{""sentiment"": ""positive""}",like,{},liked a post that can be said to be a positive one
17,downloaded <page-type> type page file,"{""page-type"": ""'exhibitor'""}",file,{},downloaded 'exhibitor' type page file
420,from <location>,"{""location"": ""Vatican City""}",profile,{},from Vatican City
151,first name = <first-name>,"{""first-name"": ""'Lavern'""}",profile,{},first name = 'Lavern'
325,first name equals <first-name>,"{""first-name"": ""Nancie""}",profile,{},first name equals Nancie
